player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs
dartez-jacobs,24,Dartez,Jacobs,S,1.88,74.02,93,205.03
david-izinyon,53,David,Izinyon,ILB,1.85,72.83,113,249.12
david-kovacevic,24,David,Kovacevic,RB,1.79,70.47,93,205.03
david-mccants,21,David,McCants,RB,1.73,68.11,89,196.21
david-rauter,64,David,Rauter,OL,1.95,76.77,138,304.24
david-schuler,16,David,Schüler,WR,1.91,75.2,97,213.85
david-weinstock,69,David,Weinstock,OL,1.86,73.23,127,279.99
david-yu,6,David,Yu,QB,1.88,74.02,90,198.42
davion-washington,,Davion,Washington,CB,1.82,71.65,,
dawid-brzozowski,22,Dawid,Brzozowski,RB,1.79,70.47,85,187.39
dawid-panczyszyn,12,Dawid,Pańczyszyn,K,1.73,68.11,85,187.39
dean-tanwani,8,Dean,Tanwani,RB,1.7,66.93,91,200.62
denis-dauben,41,Denis,Dauben,FB,1.83,72.05,106,233.69
denis-william-butz,96,Denis William,Butz,DT,1.8,70.87,132,291.01
dennis-gratza,55,Dennis,Gratza,ILB,1.75,68.9,97,213.85
dennis-kenzler,74,Dennis,Kenzler,OL,1.99,78.35,130,286.6
dennis-laas,34,Dennis,Laas,DB,1.88,74.02,94,207.23
dennis-tasic,2,Dennis,Tasic,K,1.86,73.23,110,242.51
deon-mutsvanemoto,55,Deon,Mutsvanemoto,OL,1.9,74.8,140,308.65
derrick-brumfield,91,Derrick,Brumfield,DE,1.93,75.98,105,231.49
desmond-cooper,23,Desmond,Cooper,DB,1.92,75.59,100,220.46
devin-heckstall,16,Devin,Heckstall,WR,1.98,77.95,86,189.6
diego-antonio-arboleda-sanchez,80,Diego Antonio,Arboleda Sanchez,WR,2.0,78.74,104,229.28
domenik-rofalski,82,Domenik,Rofalski,TE,1.91,75.2,103,227.08
dominic-grone,14,Dominic,Gröne,WR/K/P,1.86,73.23,95,209.44
dominic-siegel,91,Dominic,Siegel,DE,1.92,75.59,115,253.53
dominic-yaw-aboagye-duah,29,Dominic Yaw,Aboagye-Duah,DB,1.86,73.23,,
dominik-banse,15,Dominik,Banse,CB,1.79,70.47,84,185.19
dominik-behrens,68,Dominik,Behrens,OL,1.95,76.77,128,282.19
dominik-wunsche,34,Dominik,Wünsche,CB,1.92,75.59,89,196.21
dominique-pfeffer,32,Dominique,Pfeffer,DB,1.75,68.9,83,182.98
dominique-shelton,5,Dominique,Shelton,S,1.75,68.9,88,194.01
doruk-sut,16,Doruk,Şut,WR,1.83,72.05,83,182.98
dusan-novakovic,90,Dušan,Novaković,DT,1.9,74.8,110,242.51
dustin-dennerlein,91,Dustin,Dennerlein,DL/LS,1.87,73.62,118,260.15
dustin-illetschko,41,Dustin,Illetschko,ILB,1.81,71.26,97,213.85
dustin-mohrdieck,55,Dustin,Mohrdieck,ILB,1.86,73.23,105,231.49
dylan-bakker,52,Dylan,Bakker,LB,1.86,73.23,110,242.51
eduardo-gonzalez,79,Eduardo,Sanchez González,OL,1.97,77.56,160,352.74
edwin-elio,98,Edwin,Elio,DT,1.81,71.26,135,297.62
efe-baran,26,Efe,Baran,WR,1.78,70.08,87,191.8
efekan-akgun,29,Efekan,Akgün,CB,1.73,68.11,78,171.96
ege-altug-sankaya,18,Ege Altuğ,Sarıkaya,RB,1.73,68.11,84,185.19
ege-berk-inanc,11,Ege Berk,İnanç,WR,1.89,74.41,92,202.83
eldert-terekuu,33,Eldert,Terekuu,CB,1.8,70.87,92,202.83
elias-becher,62,Elias,Becher,OL,1.9,74.8,142,313.06
elias-rodriguez,34,Elías,Rodríguez,RB,1.73,68.11,85,187.39
elijah-bohm,22,Elijah,Böhm,DE,1.84,72.44,109,240.3
elvys-nunez,64,Elvys,Núñez,OL,1.86,73.23,135,297.62
emil-drossard,17,Emil,Drossard,WR,1.75,68.9,78,171.96
emir-sariyildiz,88,Emir,Sarıyıldız,TE,1.9,74.8,108,238.1
emre-dumlupinar,72,Emre,Dumlupınar,OL,1.9,74.8,132,291.01
emre-ozdemir,24,Emre,Özdemir,CB,1.8,70.87,82,180.78
emre-zengin,59,Emre ,Zengin,ILB,1.88,74.02,100,220.46
enrico-pascual,15,Enrico,Pascual,WR,1.8,70.87,77,169.76
enzo-mensah,25,Enzo,Mensah,OLB,1.94,76.38,112,246.92
erdem-altun,76,Erdem,Altun,OL,1.78,70.08,117,257.94
eric-adam,92,Eric,Adam,DE,1.97,77.56,110,242.51
eric-de-souza,62,Eric,De Souza,DT,1.97,77.56,140,308.65
eric-schlomm,8,Eric,Schlomm,K/P,1.77,69.69,82,180.78
erich-kilger,14,Erich,Kilger,WR,1.8,70.87,94,207.23
evans-yeboah,95,Evans,Yeboah,DT,1.94,76.38,125,275.58
exavier-edwards,7,Exavier,Edwards,S,1.77,69.69,88,194.01
fabian-abfalter,80,Fabian,Abfalter,WR,1.86,73.23,90,198.42
fabian-kratz,73,Fabian,Kratz,OL,1.97,77.56,110,242.51
fabian-weigel,81,Fabian,Weigel,WR,1.81,71.26,86,189.6
fabio-tartarotti,36,Fabio,Tartarotti,CB,1.85,72.83,85,187.39
fabrizio-umetelli,34,Fabrizio,Umetelli,CB,1.83,72.05,83,182.98
falco-paris,48,Falco,Paris,DE,1.89,74.41,112,246.92
falk-reuter,30,Falk,Reuter,S,1.83,72.05,89,196.21
felix-haufe,91,Felix,Haufe,DL,1.75,68.9,135,297.62
felix-lepper,75,Felix,Lepper,OL,2.05,80.71,125,275.58
felix-macher,91,Felix,Macher,DE,1.78,70.08,103,227.08
felix-mohlberg,33,Felix,Mohlberg,S,1.82,71.65,84,185.19
felix-reisacher,19,Felix,Reisacher,WR,1.88,74.02,94,207.23
felix-siegert,94,Felix,Siegert,DE,1.91,75.2,105,231.49
felix-spliteser,89,Felix,Spliteser,WR,1.98,77.95,95,209.44
femi-durojaiye,3,Femi,Durojaiye,DB,1.8,70.87,80,176.37
fernando-lowery,18,Fernando,Lowery,CB,1.8,70.87,89,196.21
ferras-el-hendi,3,Ferras,El-Hendi,QB,1.93,75.98,95,209.44
filip-kloskowski,37,Filip ,Kłoskowski,LB,1.91,75.2,102,224.87
filip-liberio-filipovic,53,Filip-Liberio,Filipovic,DL,1.9,74.8,115,253.53
filip-snopek,52,Filip,Snopek,DE,1.94,76.38,122,268.96
filip-twardowski,11,Filip,Twardowski,K,1.84,72.44,95,209.44
filip-vlajic,34,Filip,Vlajic,RB,1.72,67.72,78,171.96
finn-seibert,24,Finn,Seibert,WR,1.87,73.62,90,198.42
firat-aybek,56,Firat,Aybek,OL,1.9,74.8,165,363.76
flamur-simon,57,Flamur,Simon,OLB,1.96,77.17,115,253.53
florian-albrecht,24,Florian,Albrecht,CB,1.8,70.87,82,180.78
florian-barthel,71,Florian,Barthel,OL,1.92,75.59,150,330.69
florian-bierbaumer,89,Florian,Bierbaumer,WR,1.98,77.95,116,255.74
florian-borger,26,Florian,Borger,S,1.78,70.08,105,231.49
florian-breitenbach,96,Florian,Breitenbach,DL,1.8,70.87,105,231.49
florian-eichhorn,87,Florian,Eichhorn,TE,1.89,74.41,106,233.69
florian-finke,9,Florian,Finke,P,1.87,73.62,105,231.49
florian-gerlach,76,Florian,Gerlach,OL,2.0,78.74,130,286.6
florian-giese,25,Florian,Giese,RB,1.78,70.08,105,231.49
florian-grunsteidl,94,Florian,Grünsteidl,DT,1.91,75.2,125,275.58
florian-jobst,20,Florian,Jobst,CB,1.84,72.44,86,189.6
florian-kallwitz,71,Florian,Kallwitz,OL,1.87,73.62,135,297.62
florian-markus,51,Florian,Markus,OL,1.8,70.87,105,231.49
florian-rosenberger,61,Florian ,Rosenberger,OL,1.9,74.8,155,341.72
florian-schneikert,27,Florian,Schneikert,RB,1.93,75.98,100,220.46
florian-sudi,75,Florian,Sudi,DT,1.97,77.56,145,319.67
florian-wegan,3,Florian,Wegan,RB,1.68,66.14,94,207.23
francesco-runco,66,Francesco,Runco,OL,1.94,76.38,135,297.62
francis-bongwalanga,71,Francis,Bongwalanga,OL,1.94,76.38,136,299.83
frank-atunlese,71,Frank,Atunlese,OL,1.92,75.59,142,313.06
frederic-latour,14,Frederic,Latour,WR,1.93,75.98,90,198.42
frederick-weinreich,78,Frederick,Weinreich,OL,1.85,72.83,125,275.58
frederik-schneider,79,Frederik,Schneider,OL,1.94,76.38,120,264.55
friedemann-peters,75,Friedemann,Peters,OL,1.96,77.17,140,308.65
gabriel-cunningham,1,Gabriel,Cunningham,QB,1.9,74.8,95,209.44
gabriel-kalus,30,Gabriel,Kalus,CB,1.77,69.69,80,176.37
gabriel-rodriguez,77,Gabriel,Rodríguez,OL,2.0,78.74,148,326.28
gabriel-wiek,93,Gabriel,Wiek,DE,1.91,75.2,110,242.51
gennadiy-adams,21,Gennadiy,Adams,RB,1.73,68.11,86,189.6
gerald-ameln,20,Gerald,Ameln,RB,1.8,70.87,88,194.01
gerd-mitterdorfer,59,Gerd,Mitterdorfer,OL,1.82,71.65,118,260.15
giacomo-de-pauli,5,Giacomo,De Pauli,RB,1.88,74.02,102,224.87
giacomo-prati,2,Giacomo,Prati,DE,1.92,75.59,114,251.33
gian-de-guzman,51,Gian,De Guzman,OL,1.81,71.26,130,286.6
gideon-grabert,71,Gideon,Grabert,OL,1.91,75.2,138,304.24
gino-behling-lang,88,Gino,Behling-Lang,DT,1.98,77.95,130,286.6
gino-chongo,4,Gino,Chongo,CB,1.84,72.44,85,187.39
giorgio-tavecchio,8,Giorgio,Tavecchio,K,1.78,70.08,82,180.78
giovanni-nanguy,56,Giovanni,Nanguy,OLB,1.92,75.59,105,231.49
glen-toonga,7,Glen,Toonga,RB,1.77,69.69,97,213.85
glody-ngovo,4,Glody,Ngovo,RB,1.8,70.87,85,187.39
goran-zec,5,Goran,Zec,S,1.8,70.87,84,185.19
grzegorz-lary,26,Grzegorz,Lary,CB,1.83,72.05,77,169.76
grzegorz-piotrowski,28,Grzegorz,Piotrowski,DB,1.82,71.65,90,198.42
guillem-visent,82,Guillem,Visent,WR,1.8,70.87,89,196.21
guillermo-bahillo,50,Guillermo,Bahillo,LB,1.84,72.44,80,176.37
hamsa-el-zein,50,Hamsa,El-Zein,DT,1.88,74.02,140,308.65
hamudi-chehab,38,Hamudi,Chehab,DB,1.8,70.87,73,160.94
hannes-darley,69,Hannes,Darley,OL,1.93,75.98,112,246.92
harlan-kwofie,10,Harlan,Kwofie,WR,1.89,74.41,99,218.26
hendrik-schwarz,82,Hendrik,Schwarz,WR,1.9,74.8,90,198.42
henning-knuth,70,Henning,Knuth,OL,1.9,74.8,150,330.69
henri-perl,77,Henri,Perl,OL,1.98,77.95,150,330.69
hiswill-awuah,98,Hiswill,Awuah,DT,1.8,70.87,130,286.6
hubert-jarmuz,57,Hubert,Jarmuż,OL,1.98,77.95,115,253.53
hubert-ogrodowczyk,8,Hubert,Ogrodowczyk,ILB,1.82,71.65,103,227.08
huseyin-akay,62,Hüseyin,Akay,DT,1.86,73.23,144,317.47
ian-gehrke,18,Ian,Gehrke,QB,1.87,73.62,90,198.42
ibrahim-eldewieh,23,Ibrahim ,Eldewieh,S,1.78,70.08,86,189.6
idriss-ramky,7,Idriss,Ramky,WR,1.88,74.02,89,196.21
igor-maslanka,87,Igor,Mašlanka,TE,1.96,77.17,115,253.53
iiro-pekkarinen,31,Iiro,Pekkarinen,CB,1.85,72.83,88,194.01
ilhan-efe-geyik,7,İlhan Efe,Geyik,DE,1.88,74.02,112,246.92
ilias-werner-maragos,78,Ilias Werner,Maragos,OL,1.93,75.98,129,284.4
irvin-santana,79,Irvin,Santana,OL,1.8,70.87,122,268.96
isaiah-green,1,Isaiah,Green,QB,1.88,74.02,99,218.26
ismail-can-balta,57,Ismail Can,Balta,OL,1.88,74.02,115,253.53
ivan-gutierrez,55,Iván,Gutiérrez,ILB,1.86,73.23,89,196.21
ivan-iordanov,88,Iván,Iordanov,WR,1.9,74.8,83,182.98
jacek-wszol,90,Jacek,Wszół,DL,1.86,73.23,105,231.49
jackson-erdmann,9,Jackson,Erdmann,QB,1.95,76.77,98,216.05
jacob-templar,1,Jacob,Templar,P/WR,1.93,75.98,99,218.26
jacob-wright,,Jacob,Wright,,1.82,71.65,90,198.42
jadrian-clark,18,Jadrian,Clark,QB,1.9,74.8,95,209.44
jahn-jesus-lara-perez,95,Jahn Jesus,Lara Perez,DE,1.88,74.02,122,268.96
jai-jackson,75,Jai,Jackson,OL,1.91,75.2,107,235.89
jairus-moll,4,Jairus,Moll,CB,1.79,70.47,79,174.17
jakeb-sullivan,7,Jakeb,Sullivan,QB,1.85,72.83,88,194.01
