season,game_id,team_id,team_name,loc,opponent_id,opponent_name,player_uni,player_name,player_short_name,player_check_name,player_GP,player_GS,player_pos,pass_comp,pass_att,pass_comp_pct,pass_yds,pass_tds,pass_int,pass_long,pass_ypa,pass_ypc,pass_cfb_qbr,pass_nfl_qbr,pass_sacks,pass_sacked_yds,pass_ny/a,pass_any/a,rush_att,rush_yds,rush_yds_gained,rush_yds_lost,rush_td,rush_long,rush_avg,rec_targets,rec_no,rec_yds,rec_avg,rec_tds,rec_long,rec_catch_pct,fumbles,fumbles_lost,defense_solo_tackles,defense_ast_tackles,defense_total_tackles,defense_solo_tfl,defense_ast_tfl,defense_tfl,defense_tfl_yds,defense_solo_sack,defense_ast_sack,defense_sacks,defense_qb_hits,defense_int,defense_int_yds,defense_int_td,defense_int_long,defense_pbu,defense_ff,defense_fr,defense_fr_yds,defense_fr_tds,defense_fr_long,defense_saf,defense_blkd,punt_no,punt_gross_yds,punt_gross_avg,punt_net_yds,punt_net_avg,punt_tb,punt_blkd,punt_fc,punt_50+,punt_inside_20,punt_long,ko_no,ko_yds,ko_ob,ko_tb,ko_fc_yds,ko_avg,fg_made,fg_att,fg_long,fg_blkd,fg_pct,xp_made,xp_att,xp_blkd,two_pt_pass_made,two_pt_pass_att,two_pt_rush_made,two_pt_rush_att,two_pt_rec_made,two_pt_rec_att,def_two_pt_fum_made,def_two_pt_fum_att,def_two_pt_kick_made,def_two_pt_kick_att,pr_no,pr_yds,pr_td,pr_long,pr_avg,kr_no,kr_yds,kr_td,kr_long,kr_avg,fgr_no,fgr_yds,fgr_td,fgr_long,fgr_avg
2024,btpl2402,PL,Prague Lions,A,BT,Berlin Thunder,34,J. Brooks,J. Brooks,J. Brooks,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,A,BT,Berlin Thunder,37,J. Telnar,J. Telnar,J. Telnar,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,A,BT,Berlin Thunder,40,T. Pazourek ,T. Pazourek ,T. Pazourek ,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,A,BT,Berlin Thunder,43,M. Daník,M. Daník,M. Daník,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,A,BT,Berlin Thunder,5,A. Borkovic,A. Borkovic,A. Borkovic,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,11.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,A,BT,Berlin Thunder,52,Š. Škrabiš,Š. Škrabiš,Š. Škrabiš,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,4.0,0.0,1.0,0.5,2.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,A,BT,Berlin Thunder,55,M. Mašek,M. Mašek,M. Mašek,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,A,BT,Berlin Thunder,6,T. Fields-Jackson,T. Fields-Jackson,T. Fields-Jackson,1,0,,,,,,,,,,,,,,,,,2.0,3.0,3.0,0.0,0.0,2.0,1.5,0.0,1.0,5.0,5.0,0.0,5.0,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,25.0,0.0,14.0,,,,,,
2024,btpl2402,PL,Prague Lions,A,BT,Berlin Thunder,7,R. Kalous,R. Kalous,R. Kalous,1,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,127.0,42.333333333333336,2.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,A,BT,Berlin Thunder,8,J. Krs,J. Krs,J. Krs,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,6.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,A,BT,Berlin Thunder,80,M. Hruboň,M. Hruboň,M. Hruboň,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,120.0,0.0,1.0,0.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,A,BT,Berlin Thunder,88,P. Ševeček,P. Ševeček,P. Ševeček,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,A,BT,Berlin Thunder,99,J. Smutný,J. Smutný,J. Smutný,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,6.0,1.0,1.0,1.5,3.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,10,R. Wilzeck,R. Wilzeck,R. Wilzeck,1,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,75.0,18.75,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,11,L. Myrén,L. Myrén,L. Myrén,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,15,M. Thiele,M. Thiele,M. Thiele,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,17,D. Eberle,D. Eberle,D. Eberle,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,523.0,0.0,5.0,0.0,104.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,19,N. Köhler,N. Köhler,N. Köhler,1,0,,,,,,,,,,,,,,,,,4.0,8.0,9.0,1.0,0.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,2,A. Khalife,A. Khalife,A. Khalife,1,0,,,,,,,,,,,,,,,,,5.0,-2.0,3.0,5.0,0.0,3.0,-0.4,0.0,1.0,3.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,21,A. Peter,A. Peter,A. Peter,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,22,A. Wiesigstrauch,A. Wiesigstrauch,A. Wiesigstrauch,1,0,,,,,,,,,,,,,,,,,8.0,67.0,71.0,4.0,1.0,47.0,8.38,0.0,1.0,7.0,7.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,24,T. Schulz,T. Schulz,T. Schulz,1,0,,,,,,,,,,,,,,,,,1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,6.0,6.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,25,M. Teuchert,M. Teuchert,M. Teuchert,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,27,P. Stegemann,P. Stegemann,P. Stegemann,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,28,S. Otto,S. Otto,S. Otto,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,3,B. Kouanda,B. Kouanda,B. Kouanda,1,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,138.0,17.25,1.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,30,A. Spillum ,A. Spillum ,A. Spillum ,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,81.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,32,V. Lempinen,V. Lempinen,V. Lempinen,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,33,F. Mohlberg,F. Mohlberg,F. Mohlberg,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,4,A. Jackson ,A. Jackson ,A. Jackson ,1,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,74.0,9.25,2.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.0,0.0,17.0,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,44,R. Baunacke,R. Baunacke,R. Baunacke,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,45,K. Kitchens,K. Kitchens,K. Kitchens,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,8.0,4.0,2.0,5.0,28.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,53,N. Klopsch,N. Klopsch,N. Klopsch,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,6,L. Kohn,L. Kohn,L. Kohn,1,0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,7,J. Sullivan,J. Sullivan,J. Sullivan,1,0,,25.0,43.0,0.58,320.0,3.0,2.0,57.0,7.44,12.8,134.37,0.0,0.0,0.0,7.44,6.74,2.0,1.0,1.0,0.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,84,M. Rothenburg,M. Rothenburg,M. Rothenburg,1,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4.0,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,85,N. Schumann,N. Schumann,N. Schumann,1,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15.0,15.0,0.0,15.0,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,90,B. Baierl,B. Baierl,B. Baierl,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,92,A. Olavuo,A. Olavuo,A. Olavuo,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,3.0,0.0,1.0,0.5,5.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,96,F. Tchuda,F. Tchuda,F. Tchuda,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,97,S. Djibrila,S. Djibrila,S. Djibrila,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,btpl2402,PL,Prague Lions,H,BT,Berlin Thunder,99,A. Große Kleimann,A. Große Kleimann,A. Große Kleimann,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,5.0,2.0,2.0,3.0,17.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,ccfe2402,FE,Fehervar Enthroners,A,CC,Cologne Centurions,12,J. Mangel,J. Mangel,J. Mangel,1,1,,19.0,38.0,0.5,166.0,1.0,0.0,65.0,4.37,8.74,95.38,0.0,0.0,0.0,4.37,4.89,2.0,5.0,5.0,0.0,0.0,4.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,ccfe2402,FE,Fehervar Enthroners,A,CC,Cologne Centurions,13,M. Czirók,M. Czirók,M. Czirók,1,1,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,13.0,6.5,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,ccfe2402,FE,Fehervar Enthroners,A,CC,Cologne Centurions,14,S. Bhoedjang,S. Bhoedjang,S. Bhoedjang,1,0,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,8.0,8.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,161.0,0.0,32.0,,,,,,
2024,ccfe2402,FE,Fehervar Enthroners,A,CC,Cologne Centurions,19,Z. Sarok,Z. Sarok,Z. Sarok,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,63.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
