,player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
242,dominik-banse,15,Dominik,Banse,CB,1.79,70.47,84,185.19,2022,Leipzig Kings
243,dominik-behrens,68,Dominik,Behrens,OL,1.95,76.77,128,282.19,2022,Hamburg Sea Devils
244,dominik-wunsche,34,Dominik,Wünsche,CB,1.92,75.59,89,196.21,2022,Leipzig Kings
245,dominik-wunsche,34,Dominik,Wünsche,CB,1.92,75.59,89,196.21,2021,Leipzig Kings
246,dominique-pfeffer,32,Dominique,Pfeffer,DB,1.75,68.9,83,182.98,2021,Berlin Thunder
247,dominique-shelton,5,Dominique,Shelton,S,1.75,68.9,88,194.01,2022,Berlin Thunder
248,doruk-sut,16,Doruk,Şut,WR,1.83,72.05,83,182.98,2022,Istanbul Rams
249,dustin-dennerlein,91,Dustin,Dennerlein,DL/LS,1.87,73.62,118,260.15,2021,Leipzig Kings
250,dusan-novakovic,90,Dušan,Novaković,DT,1.9,74.8,110,242.51,2022,Panthers Wroclaw
251,dylan-bakker,52,Dylan,Bakker,LB,1.86,73.23,110,242.51,2022,Rhein Fire
252,eduardo-gonzalez,79,Eduardo,Sanchez González,OL,1.97,77.56,160,352.74,2022,Barcelona Dragons
253,eduardo-gonzalez,79,Eduardo,Sanchez González,OL,1.97,77.56,160,352.74,2021,Panthers Wroclaw
254,edwin-elio,98,Edwin,Elio,DT,1.81,71.26,135,297.62,2022,Barcelona Dragons
255,efe-baran,26,Efe,Baran,WR,1.78,70.08,87,191.8,2022,Istanbul Rams
256,efekan-akgun,29,Efekan,Akgün,CB,1.73,68.11,78,171.96,2022,Cologne Centurions
257,ege-altug-sankaya,18,Ege Altuğ,Sarıkaya,RB,1.73,68.11,84,185.19,2022,Istanbul Rams
