game_id,game_date,game_location,game_stadium,away_abv,away_name,home_abv,home_name,team_id,team_name,visitor_home,total_plays,total_yds,total_yds_per_play,first_downs_total,first_downs_pass,first_downs_rush,first_downs_penalty,penalties_num,penalties_yds,third_down_conv,third_down_att,fourth_down_conv,fourth_down_att,fumbles_num,fumbles_lost,misc_yds,time_of_possession,points_off_turnovers,redzone_att,redzone_scores,redzone_points,redzone_rush_td,redzone_pass_td,redzone_fgm,redzone_end_fga,redzone_end_downs,redzone_end_int,redzone_end_fumble,redzone_end_half,redzone_end_game,pass_comp,pass_att,pass_yds,pass_td,pass_int,pass_long,rush_att,rush_yds,rush_yds_gain,rush_yds_loss,rush_td,rush_long,defense_tackles_total,defense_tackles_solo,defense_tackles_ast,defense_tfl_solo,defense_tfl_ast,defense_tfl,defense_tfl_YDS,defense_sacks,defense_sack_yds,defense_interceptions_num,defense_interceptions_yds,defense_interceptions_td,defense_interceptions_long,defense_pbu,defense_fr,defense_fr_yds,defense_fr_td,defense_fr_long,punt_att,punt_gross_yds,punt_long,punt_blk,punt_tb,punt_fc,punt_50+,punt_in_20,punt_gross_avg,kickoff_att,kickoff_yds,kickoff_out_of_bounds,kickoff_tb,kick_fgm,kick_fga,kick_fg%,kick_fg_long,kick_fg_blk,kick_xpm,kick_xpa,kick_xp%,2PM_pass_att,2PM_pass_made,kick_return_num,kick_return_yds,kick_return_td,kick_return_long,punt_return_num,punt_return_yds,punt_return_td,punt_return_long,field_goal_return_num,field_goal_return_yds,field_goal_return_td
BDIR2205,7/2/2022,Reus,Est Municipal Reus,IR,Istanbul Rams,BD,Barcelona Dragons,IR,Istanbul Rams,V,60,190,3.1666666666666665,15,5,5,5,16,185,2,13,1,3,4.0,0.0,2,29:34,0,3.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,32.0,106.0,1.0,3.0,28.0,24.0,84.0,96.0,12.0,0.0,12.0,50.0,38.0,12.0,7.0,4.0,9.0,31.0,1.0,1.0,,,,,1.0,,,,,6.0,224.0,52.0,0.0,0.0,1.0,1.0,0.0,37.333,2.0,130.0,0.0,0.0,,,,,,1.0,1.0,1.0,0.0,0.0,6.0,125.0,0.0,24.0,1.0,5.0,0.0,5.0,,,
BDIR2205,7/2/2022,Reus,Est Municipal Reus,IR,Istanbul Rams,BD,Barcelona Dragons,BD,Barcelona Dragons,H,64,401,6.265625,27,16,5,6,12,122,4,10,2,3,2.0,1.0,6,30:26,14,6.0,5.0,34.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,36.0,307.0,4.0,0.0,43.0,27.0,94.0,116.0,22.0,2.0,32.0,46.0,34.0,12.0,5.0,2.0,6.0,48.0,4.0,4.0,3.0,59.0,0.0,36.0,4.0,,,,,3.0,62.0,35.0,1.0,0.0,0.0,0.0,0.0,20.667,7.0,465.0,0.0,1.0,,,,,,5.0,6.0,0.833,0.0,0.0,2.0,67.0,0.0,47.0,2.0,23.0,0.0,20.0,,,
bdmb2408,07/13/2024,,,MB,Madrid Bravos,BD,Barcelona Dragons,MB,Madrid Bravos,V,56,397,7.089285714285714,22,10,10,2,5,26,3,8,0,0,2.0,1.0,2,28:51,0,8.0,8.0,46.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,217.0,4.0,2.0,23.0,34.0,180.0,214.0,0.0,2.0,22.0,54.0,44.0,10.0,12.0,1.0,12.5,3.0,5.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,95.0,42.0,0.0,0.0,0.0,0.0,1.0,31.667,10.0,574.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,,,
bdmb2408,07/13/2024,,,MB,Madrid Bravos,BD,Barcelona Dragons,BD,Barcelona Dragons,H,58,131,2.2586206896551726,7,4,1,2,7,25,4,14,1,2,2.0,1.0,15,31:09,0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,26.0,98.0,0.0,2.0,20.0,31.0,33.0,50.0,0.0,0.0,9.0,42.0,38.0,4.0,3.0,1.0,3.5,3.0,0.0,0.0,2.0,58.0,0.0,36.0,0.0,1.0,0.0,0.0,0.0,7.0,174.0,40.0,0.0,0.0,0.0,0.0,0.0,24.857,1.0,70.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,8.0,101.0,0.0,25.0,2.0,15.0,0.0,9.0,,,
BDMR2304,6/24/2023,Terrassa,Olimpic de Terrassa,MR,Munich Ravens,BD,Barcelona Dragons,MR,Munich Ravens,V,64,385,6.015625,19,6,12,1,7,37,6,14,1,1,2.0,0.0,0,35:39,14,5.0,4.0,20.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,29.0,176.0,1.0,0.0,60.0,33.0,209.0,217.0,8.0,3.0,72.0,43.0,33.0,10.0,2.0,2.0,3.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,4.0,160.0,48.0,0.0,0.0,1.0,0.0,3.0,40.0,8.0,434.0,0.0,0.0,2.0,3.0,0.667,32.0,0.0,1.0,4.0,0.25,1.0,1.0,1.0,17.0,0.0,17.0,3.0,31.0,0.0,15.0,,,
BDMR2304,6/24/2023,Terrassa,Olimpic de Terrassa,MR,Munich Ravens,BD,Barcelona Dragons,BD,Barcelona Dragons,H,55,336,6.109090909090909,16,12,3,1,15,95,3,13,1,1,3.0,2.0,-1,24:11,0,4.0,3.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,43.0,323.0,1.0,1.0,63.0,11.0,13.0,28.0,15.0,1.0,8.0,56.0,36.0,20.0,3.0,2.0,4.0,24.0,2.0,2.0,,,,,5.0,,,,,6.0,263.0,50.0,0.0,0.0,2.0,1.0,1.0,43.833,3.0,192.0,2.0,0.0,1.0,2.0,0.5,18.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,99.0,0.0,20.0,1.0,7.0,0.0,7.0,,,
bdmr2407,07/06/2024,,,MR,Munich Ravens,BD,Barcelona Dragons,MR,Munich Ravens,V,37,405,10.945945945945946,19,11,7,1,9,40,5,5,0,0,1.0,0.0,0,19:11,0,8.0,8.0,54.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,340.0,7.0,0.0,33.0,16.0,65.0,116.0,0.0,1.0,40.0,17.0,14.0,3.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,23.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,445.0,0.0,1.0,0.0,0.0,,0.0,0.0,6.0,8.0,0.75,0.0,0.0,1.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,,,
bdmr2407,07/06/2024,,,MR,Munich Ravens,BD,Barcelona Dragons,BD,Barcelona Dragons,H,24,18,0.75,2,0,2,0,5,20,1,7,0,0,0.0,0.0,34,40:49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,-3.0,0.0,1.0,1.0,10.0,21.0,27.0,0.0,0.0,17.0,27.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,265.0,53.0,0.0,0.0,0.0,1.0,0.0,44.167,1.0,64.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,47.0,0.0,18.0,3.0,34.0,0.0,18.0,,,
BDMS2311,8/12/2023,Terrassa,Estadi Olimpic,MS,Milano Seamen,BD,Barcelona Dragons,MS,Milano Seamen,V,61,417,6.836065573770492,19,10,6,3,13,119,5,13,0,0,4.0,0.0,-8,29:41,10,2.0,2.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,33.0,345.0,3.0,0.0,87.0,25.0,72.0,87.0,15.0,1.0,14.0,49.0,43.0,6.0,2.0,2.0,3.0,5.0,0.0,0.0,1.0,6.0,0.0,6.0,3.0,,,,,5.0,137.0,40.0,1.0,0.0,0.0,0.0,0.0,27.4,7.0,465.0,0.0,5.0,2.0,2.0,1.0,50.0,0.0,3.0,4.0,0.75,0.0,0.0,5.0,106.0,0.0,40.0,1.0,19.0,0.0,19.0,,,
BDMS2311,8/12/2023,Terrassa,Estadi Olimpic,MS,Milano Seamen,BD,Barcelona Dragons,BD,Barcelona Dragons,H,73,394,5.397260273972603,29,18,9,2,11,91,5,13,3,3,1.0,1.0,-1,29:16,0,4.0,3.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,51.0,238.0,2.0,1.0,36.0,22.0,156.0,160.0,4.0,2.0,27.0,53.0,41.0,12.0,6.0,2.0,7.0,21.0,3.0,3.0,,,,,5.0,,,,,5.0,181.0,51.0,0.0,0.0,0.0,1.0,1.0,36.2,5.0,233.0,0.0,0.0,,,,,,4.0,4.0,1.0,0.0,0.0,2.0,58.0,0.0,31.0,4.0,42.0,0.0,16.0,,,
bdms2405,06/22/2024,,,MS,Milano Seamen,BD,Barcelona Dragons,MS,Milano Seamen,V,58,421,7.258620689655173,17,8,9,0,9,65,6,13,0,1,1.0,1.0,22,30:13,0,5.0,3.0,20.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,24.0,262.0,2.0,0.0,44.0,33.0,159.0,166.0,0.0,1.0,27.0,46.0,40.0,6.0,8.0,1.0,8.5,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,132.0,38.0,0.0,0.0,1.0,0.0,0.0,33.0,5.0,245.0,0.0,0.0,0.0,1.0,0.0,22.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,9.0,0.0,9.0,1.0,22.0,0.0,22.0,,,
bdms2405,06/22/2024,,,MS,Milano Seamen,BD,Barcelona Dragons,BD,Barcelona Dragons,H,59,275,4.661016949152542,14,7,7,0,9,50,5,11,0,1,1.0,1.0,1,29:47,0,4.0,4.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,16.0,31.0,131.0,2.0,0.0,33.0,28.0,144.0,153.0,0.0,1.0,29.0,41.0,36.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,299.0,49.0,0.0,1.0,0.0,0.0,4.0,42.714,3.0,113.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,74.0,0.0,24.0,3.0,1.0,0.0,2.0,,,
BDPM2309,7/29/2023,Terrassa,Olimpic de Terrassa,PM,Paris Musketeers,BD,Barcelona Dragons,PM,Paris Musketeers,V,58,391,6.741379310344827,19,6,11,2,6,56,3,11,1,2,2.0,0.0,32,28:22,10,4.0,4.0,23.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,28.0,242.0,2.0,0.0,70.0,29.0,149.0,161.0,12.0,3.0,27.0,55.0,41.0,14.0,7.0,6.0,10.0,73.0,7.0,7.0,2.0,0.0,0.0,0.0,5.0,,,,,5.0,212.0,48.0,0.0,0.0,1.0,0.0,1.0,42.4,7.0,441.0,0.0,0.0,1.0,1.0,1.0,28.0,0.0,2.0,3.0,0.667,2.0,1.0,1.0,21.0,0.0,21.0,3.0,43.0,0.0,32.0,,,
BDPM2309,7/29/2023,Terrassa,Olimpic de Terrassa,PM,Paris Musketeers,BD,Barcelona Dragons,BD,Barcelona Dragons,H,64,274,4.28125,16,7,8,1,6,66,5,15,0,1,2.0,0.0,-5,31:46,0,2.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,34.0,141.0,1.0,2.0,39.0,23.0,133.0,140.0,7.0,0.0,21.0,52.0,30.0,22.0,3.0,0.0,3.0,18.0,1.0,1.0,,,,,6.0,,,,,7.0,269.0,42.0,0.0,0.0,3.0,0.0,0.0,38.429,2.0,87.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,7.0,126.0,0.0,26.0,2.0,19.0,0.0,12.0,,,
BDRF2209,7/30/2022,Reus,Est Municipal Reus,RF,Rhein Fire,BD,Barcelona Dragons,RF,Rhein Fire,V,51,451,8.843137254901961,20,13,5,2,8,80,1,8,0,2,1.0,1.0,0,22:31,6,6.0,3.0,16.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,24.0,33.0,343.0,3.0,1.0,52.0,17.0,108.0,110.0,2.0,0.0,24.0,50.0,42.0,8.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,,,,,3.0,119.0,52.0,0.0,0.0,1.0,1.0,1.0,39.667,5.0,333.0,0.0,3.0,1.0,2.0,0.5,32.0,0.0,2.0,3.0,0.667,0.0,0.0,2.0,46.0,0.0,26.0,1.0,13.0,0.0,13.0,,,
BDRF2209,7/30/2022,Reus,Est Municipal Reus,RF,Rhein Fire,BD,Barcelona Dragons,BD,Barcelona Dragons,H,70,349,4.985714285714286,24,12,11,1,7,79,7,14,2,4,0.0,0.0,0,37:29,13,5.0,3.0,20.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,23.0,41.0,211.0,2.0,2.0,51.0,29.0,138.0,142.0,4.0,1.0,16.0,37.0,35.0,2.0,3.0,0.0,3.0,13.0,1.0,1.0,1.0,97.0,1.0,97.0,4.0,1.0,40.0,1.0,40.0,2.0,84.0,49.0,0.0,0.0,0.0,0.0,0.0,42.0,5.0,341.0,0.0,3.0,,,,,,3.0,5.0,0.6,0.0,0.0,2.0,71.0,0.0,54.0,1.0,9.0,0.0,9.0,,,
BDRT2307,7/15/2023,Terrassa,Olimpic de Terrassa,RT,Raiders Tirol,BD,Barcelona Dragons,RT,Raiders Tirol,V,65,261,4.015384615384615,17,9,6,2,8,76,4,15,1,1,4.0,1.0,-1,31:17,0,3.0,3.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,36.0,177.0,1.0,2.0,33.0,29.0,84.0,99.0,15.0,1.0,10.0,53.0,35.0,18.0,6.0,4.0,8.0,28.0,2.0,2.0,1.0,-16.0,0.0,0.0,4.0,1.0,3.0,0.0,3.0,5.0,187.0,46.0,0.0,0.0,1.0,0.0,1.0,37.4,4.0,210.0,0.0,0.0,1.0,2.0,0.5,34.0,0.0,2.0,2.0,1.0,0.0,0.0,,,,,5.0,68.0,0.0,56.0,,,
BDRT2307,7/15/2023,Terrassa,Olimpic de Terrassa,RT,Raiders Tirol,BD,Barcelona Dragons,BD,Barcelona Dragons,H,55,141,2.5636363636363635,9,4,4,1,4,24,4,14,1,1,2.0,2.0,-8,28:43,0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,26.0,42.0,0.0,1.0,12.0,27.0,99.0,104.0,5.0,0.0,17.0,58.0,38.0,20.0,7.0,2.0,8.0,14.0,0.0,0.0,2.0,35.0,0.0,35.0,5.0,,,,,7.0,282.0,57.0,0.0,0.0,2.0,1.0,3.0,40.286,2.0,140.0,0.0,2.0,1.0,2.0,0.5,27.0,0.0,,,,,,3.0,30.0,0.0,18.0,,,,,,,
bdrt2403,06/08/2024,,,RT,Raiders Tirol,BD,Barcelona Dragons,RT,Raiders Tirol,V,77,681,8.844155844155845,33,15,16,2,5,15,7,12,1,1,1.0,0.0,0,39:00,0,10.0,10.0,63.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,322.0,5.0,0.0,34.0,45.0,359.0,367.0,0.0,4.0,73.0,42.0,30.0,12.0,10.0,0.0,10.0,0.0,3.0,3.0,2.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,96.0,51.0,0.0,0.0,1.0,1.0,1.0,48.0,11.0,723.0,0.0,6.0,1.0,2.0,0.5,0.0,0.0,6.0,8.0,0.75,0.0,0.0,2.0,49.0,0.0,31.0,0.0,0.0,0.0,0.0,,,
bdrt2403,06/08/2024,,,RT,Raiders Tirol,BD,Barcelona Dragons,BD,Barcelona Dragons,H,52,173,3.326923076923077,9,5,4,0,5,11,5,15,0,1,2.0,1.0,12,21:00,0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,24.0,101.0,1.0,2.0,51.0,27.0,72.0,90.0,0.0,0.0,15.0,62.0,44.0,18.0,3.0,1.0,3.5,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,283.0,57.0,0.0,0.0,0.0,2.0,2.0,40.429,2.0,113.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,41.0,0.0,17.0,2.0,12.0,0.0,14.0,,,
BDSS2212,8/20/2022,Reus,Est Municipal Reus,SS,Stuttgart Surge,BD,Barcelona Dragons,SS,Stuttgart Surge,V,54,164,3.037037037037037,12,1,9,2,11,126,2,11,1,2,6.0,4.0,-2,32:12,0,2.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,92.0,0.0,1.0,33.0,37.0,72.0,134.0,62.0,1.0,16.0,41.0,33.0,8.0,7.0,2.0,8.0,35.0,2.0,2.0,,,,,2.0,,,,,5.0,168.0,42.0,0.0,1.0,0.0,0.0,0.0,33.6,2.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,7.0,161.0,0.0,28.0,1.0,22.0,0.0,22.0,,,
